mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.93,1631381834.7505875,0.0,20.0,-998.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.93,39.0,0.0,20.0,-998.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.98,39.0,1.0,20.0,-996.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.89,39.0,0.0,20.0,-1000.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.99,39.0,1.0,21.0,-1001.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.94,39.0,0.0,20.0,-1000.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.96,39.0,0.0,20.0,-1001.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.97,39.0,2.0,21.0,-999.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.95,39.0,0.0,18.0,-1000.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.99,39.0,1.0,20.0,-1002.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.96,39.0,0.0,19.0,-999.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.97,39.0,3.0,21.0,-999.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.91,39.0,0.0,18.0,-1000.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.94,39.0,0.0,18.0,-998.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.96,39.0,5.0,21.0,-999.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.99,39.0,0.0,20.0,-1000.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.97,39.0,0.0,21.0,-999.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.9,39.0,3.0,19.0,-998.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.95,39.0,0.0,17.0,-1001.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.9,39.0,1.0,21.0,-1000.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.96,39.0,1.0,19.0,-999.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.94,39.0,1.0,21.0,-998.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.97,39.0,1.0,20.0,-998.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.91,39.0,1.0,20.0,-998.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.99,39.0,1.0,19.0,-1001.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.95,39.0,1.0,22.0,-999.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,356.01,39.0,1.0,17.0,-1000.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.97,39.0,2.0,21.0,-1001.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.97,39.0,-1.0,18.0,-999.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.97,39.0,0.0,18.0,-998.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.9,39.0,1.0,21.0,-997.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.94,39.0,-1.0,20.0,-999.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.92,39.0,2.0,19.0,-996.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,356.01,39.0,3.0,21.0,-1000.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.91,39.0,0.0,22.0,-999.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.97,39.0,3.0,22.0,-1000.0
-1,-100,-100,-100,"0,0,0",0,-1,-99,0,0,0,75,77,10,0,77,355.9,39.0,1.0,19.0,-1000.0
